Domain,Rank,Category,Language,SLD,SLD Rank,SLD Category,SLD Language,DNS,HTTP,IP,IP Details,,,,
,,,,,,,,,,,IP,Blocked,Country,City,Lat/Long
lammily.com,282517,,,lammily.com,282517,,,N,N,Y,184.168.221.28,Y,US,Scottsdale,33.6119/-111.8906
swahilitz.info,282582,,,swahilitz.info,282582,,,N,N,Y,50.63.202.16,Y,US,Scottsdale,33.6119/-111.8906
whisperingsweetly.com,282594,,,whisperingsweetly.com,282594,,,N,N,P,50.63.202.22,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
opovonews.com.br,282615,,,opovonews.com.br,282615,,,N,N,Y,200.98.197.34,Y,BR,None,-10.0/-55.0
oinvestidordesucesso.com,282628,,,oinvestidordesucesso.com,282628,,,N,N,Y,173.248.161.50,Y,US,Denver,39.7525/-104.9995
rfihub.com,282669,,,rfihub.com,282669,,,N,N,Y,174.132.33.228,Y,US,Houston,29.7523/-95.367
waynesharer.com,282681,,,waynesharer.com,282681,,,N,N,Y,199.116.255.166,Y,US,Schertz,29.5892/-98.2939
lucrorfx.org,282714,,,lucrorfx.org,282714,,,N,N,P,190.93.242.84,Y,CR,San Jos̩,9.9333/-84.0833
,,,,,,,,,,,141.101.112.85,N,None,None,47.0/8.0
,,,,,,,,,,,141.101.113.85,N,None,None,47.0/8.0
,,,,,,,,,,,190.93.243.84,N,CR,San Jos̩,9.9333/-84.0833
,,,,,,,,,,,141.101.123.85,N,None,None,47.0/8.0
s-dragon.org,282740,,,s-dragon.org,282740,,,N,Y,N,72.9.150.10,N,US,Dallas,32.8148/-96.8705
tenutatenaglia.it,282759,,,tenutatenaglia.it,282759,,,N,N,Y,107.161.178.82,Y,US,Orlando,28.5445/-81.3706
joost.com,282780,,,joost.com,282780,,,N,N,P,23.22.239.63,Y,US,Ashburn,39.0437/-77.4875
