zimbio.com,News,510,20244000,USA
theblaze.com,News,590,20304000,USA
independent.co.uk,News,672,17597000,UK
sueddeutsche.de,News,1021,13267000,Germany
salon.com,News,1301,10496000,USA
thqafawe3lom.com,News,2021,6998800,Egypt
yallakora.com,News,1607,8207200,Egypt
techbrowsing.com,News,1572,8684900,USA
eluniversal.com,News,1871,7908700,Venezuela
wn.com,News,2146,7851000,USA
ijreview.com,News,2521,5788200,USA
genieo.com,News,2378,6522000,USA
musavat.com,News,3081,4544300,Azerbaijan
esmas.com,News,3302,4600000,Mexico
imagefap.com,Porn,1052,102480000,USA
adultfriendfinder.com,Porn,478,22999000,USA
tokyo-porn-tube.com,porn,3253,4649700,Japan
xnxx.com,Porn,103,598800000,USA
blogspot.ru,Blogger,504,23077000,Russia
blogspot.gr,Blogger,588,117510000,Greece
bloglovin.com,Blogger,796,15875000,USA
blogspot.ro,Blogger,1687,82110000,Romania
dtiblog.com,Blogger,1947,7226700,Japan
createspace.com,Blogger,2936,4840900,USA
wplocker.com,Blogger,2957,5187400,India
kajabi.com,Blogger,2789,4897800,USA
likes.com,File sharing,596,19982000,USA
4chan.org,File sharing,1018,12406000,USA
stagram.com,File sharing,1138,11463000,USA
carview.co.jp,File sharing,1876,7461100,Japan
t.co,Social Networking,75,118574000,USA
fbcdn.net,Social Networking,445,25149000,USA
tickld.com,Social Networking,2570,5693300,USA
like4like.org,Social Networking,3322,4566600,India
wayn.com,Social Networking,3403,4653400,UK
bestsocialfeed.com,Social Networking,3369,4511800,India
subito.it,Shopping,778,15096000,Italy
bomnegocio.com,Shopping,1436,9178700,Brazil
evite.com,Shopping,2581,5536300,USA
hsn.com,Shopping,2645,5297200,USA
books.com.tw,Shopping,2761,5353200,Taiwan
codecademy.com,Learning,2399,6040200,USA
cornell.edu,Learning,2740,5599800,USA
askmefast.com,Learning,2865,5064600,India
brainyquote.com,Learning,867,15049000,USA
imagevenue.com,images,1206,9848400,USA
cooltext.com,Images,2893,5204600,USA
bet365.es,Gambling,2000,7061900,Spain
bluehost.com,Web hosting,348,33642000,USA
ovh.net,Web hosting,757,15128000,France
gogvo.com,Web hosting,1213,10634000,USA
4cdn.org,Web hosting,1244,10619000,USA
goo.gl,Search Engines ,429,26503000,India
instantcheckmate.com,Search Engines ,2496,5838000,USA
oi.com.br,ISP,2743,5349900,Brazil
free.fr,ISP,307,32862000,France
superpages.com,Yellow pages,2833,5271300,USA
hackforums.net,Hack,3156,4546700,USA
gpotato.eu,Video games,3548,4315600,Italy
swagbucks.com,Online survey,499,22616000,USA
redbox.com,Video,1706,7771800,USA
microsoft.com,Companies,39,207956000,USA
sabah.com.tr,Travel guide,1162,11260000,Turkey
jimdo.com,website builder,451,26086000,France
